Instructions for using this worksheet are included in the 'Instructions' worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abundance related,
,Site ID,Acroloxidae,Aeshnidae,Ancylus group (= Ancylidae),Aphelocheiridae,Asellidae,Astacidae,Athericidae,Baetidae,Beraeidae,Bithyniidae,Brachycentridae,Caenidae,Calopterygidae (= Agriidae),Capniidae,Ceratopogonidae,Chaoboridae,Chironomidae,Chloroperlidae,Coenagrionidae (= Coenagriidae),Cordulegasteridae,Corduliidae,Corixidae,Corophiidae,Crangonyctidae,Culicidae,Dendrocoelidae,Dixidae,Dolichopodidae,Dreissenidae,Dryopidae,Dugesiidae,Dytiscidae,Elmidae,Empididae,Ephemerellidae,Ephemeridae,Ephydridae,Erpobdellidae,Gammaridae,Gerridae,Glossiphoniidae,Glossosomatidae,Goeridae,Gomphidae,Gyrinidae,Haliplidae,Heptageniidae (incl. Arthropleidae),Hirudinidae,Hydraenidae,Hydrobiidae,Hydrometridae,"Hydrophilidae (incl_ Georissidae, Helophoridae& Hydrochidae)",Hydropsychidae,Hydroptilidae,Lepidostomatidae,Leptoceridae,Leptophlebiidae,Lestidae,Leuctridae,Libellulidae,Limnephilidae (incl Apataniidae),Lymnaeidae,Mesoveliidae,Molannidae,Muscidae,Naucoridae,Nemouridae,Nepidae,Neritidae,Niphargidae,Noteridae,Notonectidae,Odontoceridae,Oligochaeta,Paelobiidae (= Hygrobiidae),Perlidae,Perlodidae,Philopotamidae,Phryganeidae,Physidae,Piscicolidae,Planariidae,Planorbidae (excl. Ancylus group),Platycnemididae,Pleidae,Polycentropodidae,Potamanthidae,Psychodidae,Psychomyiidae,Ptychopteridae,Rhagionidae,Rhyacophilidae,Sciomyzidae,Scirtidae (= Helododae),Sericostomatidae,Sialidae,Simuliidae,Siphlonuridae (incl. Ameletidae),Sisyridae,Sphaeriidae,Stratiomyidae,Syrphidae,Tabanidae,Taeniopterygidae,"Tipulidae (incl Cylindrotomidae, Limoniidae & Pediciidae)",Unionidae,Valvatidae,Veliidae,Viviparidae,,Acroloxidae,Aeshnidae,Ancylus group (= Ancylidae),Aphelocheiridae,Asellidae,Astacidae,Athericidae,Baetidae,Beraeidae,Bithyniidae,Brachycentridae,Caenidae,Calopterygidae (= Agriidae),Capniidae,Ceratopogonidae,Chaoboridae,Chironomidae,Chloroperlidae,Coenagrionidae (= Coenagriidae),Cordulegasteridae,Corduliidae,Corixidae,Corophiidae,Crangonyctidae,Culicidae,Dendrocoelidae,Dixidae,Dolichopodidae,Dreissenidae,Dryopidae,Dugesiidae,Dytiscidae,Elmidae,Empididae,Ephemerellidae,Ephemeridae,Ephydridae,Erpobdellidae,Gammaridae,Gerridae,Glossiphoniidae,Glossosomatidae,Goeridae,Gomphidae,Gyrinidae,Haliplidae,Heptageniidae (incl. Arthropleidae),Hirudinidae,Hydraenidae,Hydrobiidae,Hydrometridae,"Hydrophilidae (incl_ Georissidae, Helophoridae& Hydrochidae)",Hydropsychidae,Hydroptilidae,Lepidostomatidae,Leptoceridae,Leptophlebiidae,Lestidae,Leuctridae,Libellulidae,Limnephilidae (incl Apataniidae),Lymnaeidae,Mesoveliidae,Molannidae,Muscidae,Naucoridae,Nemouridae,Nepidae,Neritidae,Niphargidae,Noteridae,Notonectidae,Odontoceridae,Oligochaeta,Paelobiidae (= Hygrobiidae),Perlidae,Perlodidae,Philopotamidae,Phryganeidae,Physidae,Piscicolidae,Planariidae,Planorbidae (excl. Ancylus group),Platycnemididae,Pleidae,Polycentropodidae,Potamanthidae,Psychodidae,Psychomyiidae,Ptychopteridae,Rhagionidae,Rhyacophilidae,Sciomyzidae,Scirtidae (= Helododae),Sericostomatidae,Sialidae,Simuliidae,Siphlonuridae (incl. Ameletidae),Sisyridae,Sphaeriidae,Stratiomyidae,Syrphidae,Tabanidae,Taeniopterygidae,"Tipulidae (incl Cylindrotomidae, Limoniidae & Pediciidae)",Unionidae,Valvatidae,Veliidae,Viviparidae,WHPT NTaxa,WHPT ASPT,Site ID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worked example,,0,0,3,0,0,0,0,253,0,0,0,16,0,0,0,0,430,22,0,0,XXXXX,0,0,0,0,0,0,0,0,0,0,5,26,0,0,0,0,0,8,0,0,0,0,XXXXX,6,0,25,0,0,0,0,3,18,2,27,0,1,XXXX,14,0,0,0,0,0,0,0,16,0,0,0,0,0,0,42,0,11,6,3,0,0,0,8,0,0,0,31,0,0,0,0,0,25,0,0,6,0,42,0,0,0,0,0,0,0,15,0,0,0,0,,0,0,5.8,0,0,0,0,7.2,0,0,0,6.5,0,0,0,0,-0.9,12.2,0,0,,0,0,0,0,0,0,0,0,0,0,4.5,7.4,0,0,0,0,0,4.2,0,0,0,0,,8.1,0,10.3,0,0,0,0,5.8,7.2,6.1,10.3,0,8.8,,10.6,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,2.3,3.8,13,10.5,11.2,0,0,0,4.7,0,0,0,8.1,0,0,0,0,0,9.2,0,0,8.9,0,6.1,0,0,0,0,0,0,0,6.9,0,0,0,0,27,7.759259259,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Site ID,Acroloxidae,Aeshnidae,Ancylus group (= Ancylidae),Aphelocheiridae,Asellidae,Astacidae,Athericidae,Baetidae,Beraeidae,Bithyniidae,Brachycentridae,Caenidae,Calopterygidae (= Agriidae),Capniidae,Ceratopogonidae,Chaoboridae,Chironomidae,Chloroperlidae,Coenagrionidae (= Coenagriidae),Cordulegastridae,Corduliidae,Corixidae,Corophiidae,Crangonyctidae,Culicidae,Dendrocoelidae,Dixidae,Dolichopodidae,Dreissenidae,Dryopidae,Dugesiidae,Dytiscidae,Elmidae,Empididae,Ephemerellidae,Ephemeridae,Ephydridae,Erpobdellidae,Gammaridae,Gerridae,Glossiphoniidae,Glossosomatidae,Goeridae,Gomphidae,Gyrinidae,Haliplidae,Heptageniidae (incl. Arthropleidae),Hirudinidae,Hydraenidae,Hydrobiidae,Hydrometridae,"Hydrophilidae (incl_ Georissidae, Helophoridae& Hydrochidae)",Hydropsychidae,Hydroptilidae,Lepidostomatidae,Leptoceridae,Leptophlebiidae,Lestidae,Leuctridae,Libellulidae,Limnephilidae (incl Apataniidae),Lymnaeidae,Mesoveliidae,Molannidae,Muscidae,Naucoridae,Nemouridae,Nepidae,Neritidae,Niphargidae,Noteridae,Notonectidae,Odontoceridae,Oligochaeta,Paelobiidae (= Hygrobiidae),Perlidae,Perlodidae,Philopotamidae,Phryganeidae,Physidae,Piscicolidae,Planariidae,Planorbidae (excl. Ancylus group),Platycnemididae,Pleidae,Polycentropodidae,Potamanthidae,Psychodidae,Psychomyiidae,Ptychopteridae,Rhagionidae,Rhyacophilidae,Sciomyzidae,Scirtidae (= Helododae),Sericostomatidae,Sialidae,Simuliidae,Siphlonuridae,Sisyridae,Sphaeriidae_Pea_mussels,Stratiomyidae,Syrphidae,Tabanidae,Taeniopterygidae,"Tipulide (incl Limoniidae, Clylindrotomidae & Pediciidae)",Unionidae,Valvatidae,Veliidae,Viviparidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For your data,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,,0,0,0,0,0,0,0,9.3,0,0,0,6.5,0,0,5.4,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,4.4,0,4.2,0,3.4,0,0,,8.1,0,8.5,0,0,0,4.3,0,0,0,9.9,0,8.8,,9.3,0,0,0,0,0,4,0,0,0,0,0,3.2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,8.1,0,0,8.9,0,0,0,0,0,0,1.9,7.1,0,0,0,0,0,0,23,5.930434783,1
,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8.3,4.4,0,0,0,0,0,0,,8.1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,3.2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5.3375,2
,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,5.4,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,4.4,0,0,0,0,0,0,,8.1,0,0,0,0,0,0,0,0,0,9.9,0,8.8,,9.3,0,0,0,0,0,4,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,8.9,0,0,0,0,0,0,1.9,7.1,0,0,0,0,0,0,15,6.346666667,3
,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,5.4,3,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8.3,4.4,0,0,0,0,0,0,,8.1,0,0,0,0,0,0,0,0,0,9.9,0,8.8,,0,0,0,0,0,0,4,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,14,6.042857143,4
,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8.3,4.4,0,0,0,0,0,0,,8.1,0,0,0,0,0,0,0,0,0,9.9,0,8.8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,9,6.877777778,5
,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8.3,4.4,0,0,0,0,0,0,,8.1,0,0,0,0,0,0,0,0,0,9.9,0,8.8,,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6.1,6
